Name,Date,Review,Photo
Jess M,14 March 2024,"Super easy order, tracking was clear and the shoes looked mint in person.",s-l1600 (47).webp
Rangi C.,22 May 2024,Good quality for the price. Arrived quicker than I expected too.,s-l1600 (24).webp
Moana L,9 January 2025,"Really happy with these, sizing was accurate and they go with everything.",s-l1600 (55).webp
Grace G,16 January 2026,"Was a bit unsure at first, but honestly stoked once they arrived.",s-l1600 (22).webp
Wiremu K,27 February 2026,"Comfy, clean, and packaged well. Would definitely order again.",s-l1600 (27).webp
Ethan W.,22 May 2024,"Solid pair, no issues at all. I would size up tho",s-l1600 (58).webp
Talia M,4 October 2024,"Mean as, shoes looked mint and tracking came through sweet.",s-l1600 (52).webp
Mason K.,13 July 2024,"Stoked with these, comfy fit and turned up all good.",s-l1600 (38).webp
Ruby A,17 November 2024,"Wasn’t sure at first, but they’re actually mint in person.",s-l1600 (43).webp
Arjun P,15 March 2026,Honestly pretty chuffed. Sizing was bang on and they look clean.,s-l1600 (46).webp
Sophie L,21 April 2026,"Came packed nicely, no dramas. Happy as with the quality.",s-l1600 (21).webp
Chloe B,6 May 2026,"Love them heaps, already had a few mates ask where from.",s-l1600 (48).webp
Noah W.,28 May 2026,Messaged about sizing and got a proper helpful reply. Cheers.,s-l1600 (29).webp
Mason D,3 July 2025,"Took the expected time, but all good. Worth it when they arrived.",s-l1600 (40).webp
Meera J,18 February 2024,Got these for my partner and they were stoked. Easy win.,s-l1600 (57).webp
Talia F,6 May 2026,"Wait was longer than usual, but updates were clear and the shoes were worth it.",s-l1600 (20).webp
Aaliyah N.,5 June 2026,"Delivery took a bit, but customer service was mint with every question. Happy as.",s-l1600 (36).webp
Grace H,6 May 2026,"Bit of a wait, no dramas though. They answered everything properly. Stoked overall",s-l1600 (28).webp
Matiu H,18 May 2026,"Took the full delivery time, but they replied fast and kept me in the loop.",s-l1600 (56).webp
Luke B,27 February 2026,"Was worried about timing, but they replied quickly and the jacket arrived mint.",s-l1600 (49).webp
Ella M,18 March 2024,"Really happy with my order. Delivery took a little while, but the team replied quickly whenever I asked for an update. Product arrived looking exactly like the photos, so I was happy as.",s-l1600 (45).webp
Anika S,7 April 2024,"First time ordering from Muse and I was honestly a bit unsure, but everything went smooth. The shoes came well packed, sizing was right, and customer service was really helpful.",s-l1600 (51).webp
Maya K,8 November 2025,"Good experience overall. I had a few questions before ordering and they were answered properly, not just quick one-word replies. The product came tidy and I’d order again.",s-l1600 (28).webp
Chloe B.,12 February 2024,"Ordered a jacket and it fits really nicely. Warm without being too bulky, and the sizing advice was helpful. Took the stated delivery time, but all good.",s-l1600 (33) copy.webp
Mason D,9 February 2025,"Wasn’t the fastest delivery, but I knew that before ordering. Communication was good the whole way and I’m really happy with the final product.",s-l1600 (50).webp
Meera J,24 April 2025,"Delivery took longer than I expected and tracking barely updated. Product was fine, but the wait was annoying",s-l1600 (25).webp
Lucas A,11 May 2025,"Good honest experience. Delivery took a bit, but the product came exactly as expected. Support replied quickly and made the whole process feel easy.",s-l1600 (44).webp
Olivia K.,30 June 2025,"Customer service replied eventually, but I had to follow up twice. Product was okay once it arrived.",s-l1600 (54).webp
Jordan T,16 August 2025,"Took too long for me personally. Quality was decent, but I probably wouldn’t order if I needed something fast.",s-l1600 (41).webp
Mia R,5 October 2025,"The box arrived pretty crushed, which wasn’t ideal. Shoes were fine inside, but presentation could be better.",s-l1600 (26).webp
Sam L,8 April 2026,Tracking was confusing and didn’t update for ages. Made the whole order feel a bit stressful.,s-l1600 (42).webp
Sophie W.,21 May 2026,"Not bad, but not amazing either. Delivery was slow and I expected slightly better packaging",s-l1600 (32).webp
Priya S.,2 June 2026,I had to message for updates instead of getting them automatically. Product itself was alright.,s-l1600 (53).webp
Arjun P.,27 February 2026,I usually wear US 8 and ordered US 8. Fit was true to size and looked just like the photos.,s-l1600 (23).webp
Leilani K.,16 August 2025,I normally buy women’s sizing and sized down like suggested. Jacket fit was spot on,s-l1600 (37).webp
Talia V.,21 May 2026,"Tracking was quiet for a few days, which was annoying, but customer service explained it properly.",s-l1600 (31).webp
Moana L,30 June 2025,"I had wide feet and asked first. They recommended sizing up, which ended up being right.",s-l1600 (33).webp
Tane W,24 April 2025,"I ordered my usual size and they felt slightly snug at first, but comfy after wearing",$_1.jpeg
Anahera S.,18 January 2025,"Not the fastest delivery, but the updates were honest and the quality was better than expected",s-l1600 (34).webp
Kauri B,1 June 2026,The quality is top tier and shoes are brand new. They shipped in 2 days and it came a few days later. Communication was bad but I still received my package and it was not damaged. The shoes are literally brand new and have no scruffs marks. Honestly 8/10 would recommend this seller,$_1 (1).jpeg
